term,timestamp,close,confirmed_at,retrospective
short,2022-07-27 00:00:00+00:00,21206.7152438424,2022-08-03 00:00:00+00:00,True
short,2022-07-29 00:00:00+00:00,23847.0134427356,2022-08-05 00:00:00+00:00,True
short,2022-08-05 00:00:00+00:00,22635.520004406695,2022-08-12 00:00:00+00:00,True
short,2022-08-14 00:00:00+00:00,24427.9731839966,2022-08-21 00:00:00+00:00,True
short,2022-08-29 00:00:00+00:00,19606.7351,2022-09-05 00:00:00+00:00,True
short,2022-09-07 00:00:00+00:00,18812.0610369416,2022-09-14 00:00:00+00:00,True
short,2022-09-13 00:00:00+00:00,22387.9386275266,2022-09-20 00:00:00+00:00,True
short,2022-09-22 00:00:00+00:00,18501.8204944878,2022-09-29 00:00:00+00:00,True
short,2022-10-05 00:00:00+00:00,20339.726,2022-10-12 00:00:00+00:00,True
short,2022-10-12 00:00:00+00:00,19045.5416,2022-10-19 00:00:00+00:00,True
short,2022-10-18 00:00:00+00:00,19558.1117,2022-10-25 00:00:00+00:00,True
short,2022-10-21 00:00:00+00:00,19042.9309,2022-10-28 00:00:00+00:00,True
short,2022-11-06 00:00:00+00:00,21281.5851,2022-11-13 00:00:00+00:00,True
short,2022-11-10 00:00:00+00:00,15789.3424229981,2022-11-17 00:00:00+00:00,True
short,2022-11-22 00:00:00+00:00,15779.9717017499,2022-11-29 00:00:00+00:00,True
short,2022-12-01 00:00:00+00:00,17188.6346796071,2022-12-08 00:00:00+00:00,True
short,2022-12-08 00:00:00+00:00,16838.0474731615,2022-12-15 00:00:00+00:00,True
short,2022-12-15 00:00:00+00:00,17799.1689741759,2022-12-22 00:00:00+00:00,True
short,2022-12-20 00:00:00+00:00,16424.7967132486,2022-12-27 00:00:00+00:00,True
short,2022-12-27 00:00:00+00:00,16908.948430198,2023-01-03 00:00:00+00:00,True
short,2023-01-01 00:00:00+00:00,16538.3479,2023-01-08 00:00:00+00:00,True
short,2023-01-30 00:00:00+00:00,23775.9829,2023-02-06 00:00:00+00:00,True
short,2023-02-11 00:00:00+00:00,21648.2846,2023-02-18 00:00:00+00:00,True
short,2023-02-21 00:00:00+00:00,24797.2219,2023-02-28 00:00:00+00:00,True
short,2023-03-11 00:00:00+00:00,20133.7398235246,2023-03-18 00:00:00+00:00,True
short,2023-03-28 00:00:00+00:00,27157.5701,2023-04-04 00:00:00+00:00,True
short,2023-04-01 00:00:00+00:00,28467.196629273905,2023-04-08 00:00:00+00:00,True
short,2023-04-15 00:00:00+00:00,30478.2924,2023-04-22 00:00:00+00:00,True
short,2023-04-22 00:00:00+00:00,27274.5,2023-04-29 00:00:00+00:00,True
short,2023-04-28 00:00:00+00:00,29467.27,2023-05-05 00:00:00+00:00,True
short,2023-05-06 00:00:00+00:00,29529.67,2023-05-13 00:00:00+00:00,True
short,2023-05-14 00:00:00+00:00,26789.06,2023-05-21 00:00:00+00:00,True
short,2023-05-25 00:00:00+00:00,26336.63,2023-06-01 00:00:00+00:00,True
